,time,cs_1mm,cs_5mm,cs_7mm,cs_9mm
174,27840000.0,2.915637127443e-09,1.019464912726e-10,1.019464052422e-10,1.030254060966e-10
175,28000000.0,2.965223584073e-09,1.019464950274e-10,1.019464099869e-10,1.03039514718e-10
176,28160000.0,3.015225302681e-09,1.019464987431e-10,1.019464146856e-10,1.030536855162e-10
177,28320000.0,3.065639375365e-09,1.019465024201e-10,1.019464193388e-10,1.030679177485e-10
178,28480000.0,3.116462844859e-09,1.019465060587e-10,1.019464239473e-10,1.03082210675e-10
179,28640000.0,3.167692705923e-09,1.019465096594e-10,1.019464285117e-10,1.030965635586e-10
180,28800000.0,3.219325906723e-09,1.019465132226e-10,1.019464330324e-10,1.031109756657e-10
181,28960000.0,3.271359350213e-09,1.019465167486e-10,1.019464375103e-10,1.031254462652e-10
182,29120000.0,3.323789895508e-09,1.019465202379e-10,1.019464419459e-10,1.031399746296e-10
183,29280000.0,3.376614359259e-09,1.019465236907e-10,1.019464463397e-10,1.031545600343e-10
184,29440000.0,3.429829517016e-09,1.019465271076e-10,1.019464506925e-10,1.031692017585e-10
185,29600000.0,3.483432104589e-09,1.019465304889e-10,1.019464550049e-10,1.031838990844e-10
186,29760000.0,3.537418819407e-09,1.019465338349e-10,1.019464592773e-10,1.031986512978e-10
187,29920000.0,3.591786321857e-09,1.01946537146e-10,1.019464635106e-10,1.032134576881e-10
188,30080000.0,3.646531236633e-09,1.019465404226e-10,1.019464677051e-10,1.032283175484e-10
189,30240000.0,3.701650154065e-09,1.019465436651e-10,1.019464718617e-10,1.032432301751e-10
190,30400000.0,3.757139631443e-09,1.019465468737e-10,1.019464759809e-10,1.032581948687e-10
191,30560000.0,3.812996194338e-09,1.019465500489e-10,1.019464800633e-10,1.032732109334e-10
192,30720000.0,3.869216337901e-09,1.01946553191e-10,1.019464841095e-10,1.032882776772e-10
193,30880000.0,3.925796528173e-09,1.019465563003e-10,1.019464881201e-10,1.033033944119e-10
194,31040000.0,3.982733203362e-09,1.019465593772e-10,1.019464920958e-10,1.033185604534e-10
195,31200000.0,4.040022775126e-09,1.01946562422e-10,1.019464960371e-10,1.033337751215e-10
196,31360000.0,4.09766162984e-09,1.019465654351e-10,1.019464999448e-10,1.033490377401e-10
197,31520000.0,4.155646129855e-09,1.019465684167e-10,1.019465038193e-10,1.033643476371e-10
198,31680000.0,4.213972614738e-09,1.019465713673e-10,1.019465076613e-10,1.033797041446e-10
199,31840000.0,4.272637402507e-09,1.019465742871e-10,1.019465114714e-10,1.033951065986e-10
200,32000000.0,4.331636790858e-09,1.019465771764e-10,1.019465152503e-10,1.034105543397e-10
201,32160000.0,4.390967058365e-09,1.019465800356e-10,1.019465189985e-10,1.034260467123e-10
202,32320000.0,4.450624465683e-09,1.01946582865e-10,1.019465227168e-10,1.034415830654e-10
203,32480000.0,4.510605256731e-09,1.019465856649e-10,1.019465264056e-10,1.034571627519e-10
204,32640000.0,4.570905659859e-09,1.019465884355e-10,1.019465300657e-10,1.034727851294e-10
205,32800000.0,4.631521889009e-09,1.019465911773e-10,1.019465336977e-10,1.034884495596e-10
206,32960000.0,4.692450144854e-09,1.019465938905e-10,1.019465373022e-10,1.035041554085e-10
207,33120000.0,4.753686615931e-09,1.019465965754e-10,1.019465408798e-10,1.035199020466e-10
208,33280000.0,4.815227479756e-09,1.019465992323e-10,1.019465444311e-10,1.035356888488e-10
209,33440000.0,4.877068903915e-09,1.019466018615e-10,1.019465479569e-10,1.035515151944e-10
210,33600000.0,4.939207047159e-09,1.019466044632e-10,1.019465514578e-10,1.035673804669e-10
211,33760000.0,5.001638060475e-09,1.019466070379e-10,1.019465549343e-10,1.035832840547e-10
212,33920000.0,5.064358088139e-09,1.019466095856e-10,1.019465583872e-10,1.035992253502e-10
213,34080000.0,5.127363268756e-09,1.019466121068e-10,1.019465618171e-10,1.036152037506e-10
214,34240000.0,5.190649736289e-09,1.019466146017e-10,1.019465652247e-10,1.036312186573e-10
215,34400000.0,5.254213621067e-09,1.019466170706e-10,1.019465686105e-10,1.036472694763e-10
216,34560000.0,5.318051050777e-09,1.019466195137e-10,1.019465719754e-10,1.036633556183e-10
217,34720000.0,5.382158151444e-09,1.019466219313e-10,1.019465753198e-10,1.036794764982e-10
218,34880000.0,5.446531048393e-09,1.019466243237e-10,1.019465786446e-10,1.036956315355e-10
219,35040000.0,5.511165867195e-09,1.019466266912e-10,1.019465819504e-10,1.037118201543e-10
220,35200000.0,5.576058734595e-09,1.019466290339e-10,1.019465852378e-10,1.037280417831e-10
221,35360000.0,5.641205779427e-09,1.019466313522e-10,1.019465885076e-10,1.037442958549e-10
222,35520000.0,5.706603133508e-09,1.019466336463e-10,1.019465917604e-10,1.037605818074e-10
223,35680000.0,5.772246932525e-09,1.019466359165e-10,1.019465949969e-10,1.037768990826e-10
