Cs	Cs_prev	Cs_new
1.7651149008330077e-11	2.2312968116319047e-08	2.231156924259e-08
1.7651149008330077e-11	2.679725304311257e-08	2.679540184908e-08
1.7651149008330077e-11	3.218275430292997e-08	3.218027297176e-08
1.7651149008330077e-11	3.865059126980035e-08	3.864722021653e-08
1.7651149008330077e-11	4.6418283265741566e-08	4.641363953029e-08
1.7651149008330077e-11	5.57470649361622e-08	5.574057840696e-08
1.7651149008330077e-11	6.695067181190456e-08	6.694148771679e-08
1.7651149008330077e-11	8.040589152448271e-08	8.039272245422e-08
1.7651149008330077e-11	9.656523552161449e-08	9.654613998018e-08
1.7651149008330077e-11	1.1597215744452713e-07	1.159442158848e-07
1.7651149008330077e-11	1.3927932997509995e-07	1.392381869467e-07
1.7651149008330077e-11	1.6727059482006927e-07	1.672098439185e-07
1.7651149008330077e-11	2.0088732403050682e-07	2.007977402971e-07
1.7651149008330077e-11	2.412600792120572e-07	2.411287588309e-07
1.7651149008330077e-11	2.897466333543717e-07	2.895561753309e-07
1.7651149008330077e-11	3.4797763398892665e-07	3.477055548137e-07
1.7651149008330077e-11	4.179114433693365e-07	4.175299875773e-07
1.7651149008330077e-11	5.018999999999996e-07	5.013763517288e-07
2.1198538177982996e-11	0.0	7.451143644505e-16
2.1198538177982996e-11	1.019e-11	1.0190387063200001e-11
2.1198538177982996e-11	1.2237906095048205e-11	1.223822117302e-11
2.1198538177982996e-11	1.4697384258215702e-11	1.469761287205e-11
2.1198538177982996e-11	1.7651149008330077e-11	1.765127376393e-11
2.1198538177982996e-11	2.1198538177982996e-11	2.119853817798e-11
2.1198538177982996e-11	2.545885373645242e-11	2.5458703872720003e-11
2.1198538177982996e-11	3.057537402495308e-11	3.0575044127760005e-11
2.1198538177982996e-11	3.672017233938683e-11	3.6719626152130006e-11
2.1198538177982996e-11	4.409990391397474e-11	4.4099097861430004e-11
2.1198538177982996e-11	5.296275592736719e-11	5.296163762909e-11
2.1198538177982996e-11	6.360679426634714e-11	6.360530075615001e-11
2.1198538177982996e-11	7.638998775648742e-11	7.638804328391e-11
2.1198538177982996e-11	9.174224698388373e-11	9.173976046510001e-11
2.1198538177982996e-11	1.1017988258464067e-10	1.101767444132e-10
2.1198538177982996e-11	1.3232296924772027e-10	1.323190474924e-10
2.1198538177982996e-11	1.5891619939858214e-10	1.589113351922e-10
2.1198538177982996e-11	1.908539278922281e-10	1.908479297992e-10
2.1198538177982996e-11	2.2921024999177514e-10	2.292028872344e-10
2.1198538177982996e-11	2.7527512418271516e-10	2.752661183039e-10
2.1198538177982996e-11	3.305977546664182e-10	3.305867694032e-10
2.1198538177982996e-11	3.970386925261443e-10	3.970253212941e-10
2.1198538177982996e-11	4.768324077758264e-10	4.768161584454e-10
2.1198538177982996e-11	5.726624366473305e-10	5.726427125524e-10
2.1198538177982996e-11	6.877516313887657e-10	6.877277078014e-10
2.1198538177982996e-11	8.25970547757794e-10	8.259415425598e-10
2.1198538177982996e-11	9.919676153812966e-10	9.91932452134e-10
2.1198538177982996e-11	1.1913254687306332e-09	1.191282829999e-09
2.1198538177982996e-11	1.430748696267397e-09	1.430696963987e-09
2.1198538177982996e-11	1.7182893219365112e-09	1.718226500962e-09
2.1198538177982996e-11	2.063617602157319e-09	2.0635412207e-09
2.1198538177982996e-11	2.4783472454651434e-09	2.478254225016e-09
2.1198538177982996e-11	2.9764259922398243e-09	2.976312475026e-09
2.1198538177982996e-11	3.5746046900776884e-09	3.57446580843e-09
2.1198538177982996e-11	4.293000640244322e-09	4.292830204477e-09
